iter	Passed	Remaining
0	7	1417
1	14	1434
2	21	1404
3	29	1428
4	36	1415
5	42	1386
6	49	1359
7	55	1340
8	61	1313
9	70	1348
10	77	1333
11	86	1352
12	94	1353
13	101	1343
14	107	1320
15	113	1309
16	120	1296
17	126	1280
18	135	1287
19	141	1270
20	148	1264
21	155	1254
22	162	1249
23	169	1243
24	177	1244
25	184	1232
26	190	1222
27	198	1219
28	204	1208
29	213	1208
30	219	1197
31	226	1190
32	233	1179
33	239	1171
34	248	1171
35	255	1163
36	262	1158
37	268	1146
38	276	1140
39	282	1131
40	289	1122
41	296	1114
42	303	1109
43	309	1098
44	317	1094
45	324	1087
46	333	1085
47	340	1079
48	346	1068
49	353	1059
50	360	1053
51	367	1047
52	375	1040
53	380	1030
54	388	1025
55	395	1015
56	402	1008
57	408	999
58	415	991
59	421	982
60	427	973
61	434	967
62	440	958
63	447	951
64	454	943
65	459	933
66	466	926
67	472	917
68	480	911
69	485	902
70	491	893
71	498	886
72	504	878
73	512	872
74	518	863
75	524	855
76	530	847
77	536	839
78	543	832
79	549	824
80	556	817
81	562	809
82	568	801
83	576	796
84	582	787
85	589	781
86	597	775
87	603	767
88	610	760
89	615	752
90	623	747
91	629	739
92	636	732
93	642	724
94	648	717
95	656	710
96	662	703
97	669	696
98	677	691
99	684	684
100	690	676
101	697	669
102	703	662
103	709	654
104	716	647
105	725	642
106	732	636
107	738	629
108	745	622
109	754	616
110	761	610
111	767	603
112	773	595
113	780	589
114	787	581
115	794	575
116	800	567
117	806	560
118	814	554
119	820	546
120	827	540
121	835	533
122	841	526
123	848	520
124	855	513
125	862	506
126	869	499
127	876	493
128	882	485
129	889	478
130	896	471
131	902	464
132	909	457
133	915	450
134	921	443
135	930	437
136	936	430
137	943	423
138	949	416
139	956	410
140	963	403
141	968	395
142	976	389
143	982	382
144	988	374
145	995	368
146	1001	360
147	1007	354
148	1013	347
149	1019	339
150	1026	333
151	1032	326
152	1039	319
153	1046	312
154	1052	305
155	1059	298
156	1065	291
157	1072	285
158	1079	278
159	1085	271
160	1093	264
161	1098	257
162	1106	251
163	1113	244
164	1120	237
165	1126	230
166	1132	223
167	1140	217
168	1146	210
169	1153	203
170	1159	196
171	1166	189
172	1173	183
173	1180	176
174	1187	169
175	1193	162
176	1199	155
177	1206	149
178	1212	142
179	1219	135
180	1225	128
181	1230	121
182	1238	115
183	1244	108
184	1250	101
185	1257	94
186	1263	87
187	1270	81
188	1276	74
189	1284	67
190	1291	60
191	1298	54
192	1304	47
193	1310	40
194	1317	33
195	1323	27
196	1331	20
197	1337	13
198	1343	6
199	1349	0
