Feature,RF_Importance,XGB_Importance,CAT_Importance,LGBM_Importance,Avg_Importance
year_month_dayofweek,0.05528920721486361,0.073275656,19.208221671186763,127,36.58419663347742
agent_join_month_dayofweek,0.06259917947840027,0.13000233,26.18807532822966,109,33.8451692106055
number_of_policy_holders,0.07542451617754374,0.051632885,3.5584670016394893,64,16.92138110067672
unique_proposals_trend_7_days_15_days,0.07624950324502891,0.27065948,10.312257944198265,54,16.16479173099048
unique_quotations_trend_7_days_15_days,0.05200943233041507,0.06835965,1.6984478237165506,54,13.954704226679612
first_policy_sold_month_weekofyear,0.026822720423646817,0.0082127955,2.4324257303996792,53,13.866865311576102
unique_customers_last_21_days,0.03206922893466758,0.006258138,1.417238386251609,34,8.863891438294017
number_of_cash_payment_policies,0.04504001409393894,0.015358317,0.9487436137400865,21,5.502285486136527
unique_customers_trend_7_days_15_days,0.021933987470361575,0.0061828834,0.515904777490877,20,5.1360054120904275
agent_join_month_weekofyear,0.03234033873938889,0.015570682,2.226912590186338,13,3.8187059026169714
year_month_month,0.013158693833672915,0.0091520455,2.3975002943280295,12,3.60495275840879
unique_customers,0.011044151645757705,0.023307968,0.29817266414017796,12,3.083131195929242
unique_proposals_trend_15_days_21_days,0.024427024755937617,0.0034020168,2.2566362382002665,7,2.321116319945079
unique_proposal,0.012491797313115546,0.004795973,0.2660715836707381,8,2.0708398385432574
hist_nill_rate_calc,0.01033582184017387,0.0063939434,6.31191134599707,1,1.832160277821216
ANBP_value,0.019303472153915632,0.0049776505,0.6077262564555901,6,1.6580018447710656
unique_customers_lag_2,0.006946016923742976,0.0060144486,0.5591704019770503,6,1.6430327168728425
ANBP_value_roll_mean_6m,0.003969943291266443,0.0030204237,0.20160140591924705,6,1.5521479432269554
unique_quotations_trend_15_days_21_days,0.013116384756175357,0.0046207467,1.1838932185548157,5,1.5504075875050993
unique_customers_roll_std_12m,0.004859087424904837,0.0030120553,0.31263436952772894,3,0.8301263780627368
