number,value,datetime_start,datetime_complete,duration,params_cat_class_weight_0_cb,params_cat_depth,params_cat_iterations,params_cat_l2_leaf_reg,params_cat_learning_rate,params_rf_max_depth,params_rf_min_samples_leaf,params_rf_n_estimators,params_smote_k_neighbors,params_w_cat,params_w_rf,params_w_xgb,params_xgb_learning_rate,params_xgb_max_depth,params_xgb_n_estimators,state
0,0.5124247887847013,2025-05-07 18:16:17.296118,2025-05-07 18:16:27.076720,0 days 00:00:09.780602,4.864594334728975,7,200,1.0485387725194617,0.051059032093947576,10,7,200,3,0.6272924049005918,2.514083658321223,0.7157834209670008,0.011430983876313222,3,75,COMPLETE
1,0.5124802325898479,2025-05-07 18:16:27.076993,2025-05-07 18:16:29.782885,0 days 00:00:02.705892,1.3985320197126188,5,100,6.097839109531514,0.028580510658069373,8,5,100,2,0.2347061968879934,1.5912798713994738,1.8180022496999233,0.013787764619353767,6,100,COMPLETE
2,0.5087574969571786,2025-05-07 18:16:29.783051,2025-05-07 18:16:32.967625,0 days 00:00:03.184574,2.728296095500716,7,50,1.324458134009935,0.027551959649510765,4,10,75,5,0.850461946640049,0.19972671123413335,2.737029166028468,0.020165721691808594,7,200,COMPLETE
3,0.5117661363766778,2025-05-07 18:16:32.967762,2025-05-07 18:16:40.735804,0 days 00:00:07.768042,0.8982162592336378,8,200,8.353610755311761,0.03961867790406585,8,6,100,5,1.0434579592134665,0.6683503010155211,0.23115913784056039,0.05958443469672518,8,75,COMPLETE
4,0.5149153225823692,2025-05-07 18:16:40.735942,2025-05-07 18:16:43.382144,0 days 00:00:02.646202,1.3942205669037757,4,175,5.918951335463645,0.09702573394120728,11,5,75,3,2.1498862971580897,0.11601413965844697,2.464838142519019,0.013833249975219963,6,75,COMPLETE
5,0.5046400913602036,2025-05-07 18:16:43.382284,2025-05-07 18:16:46.346256,0 days 00:00:02.963972,3.783227802521288,4,100,2.114381362663436,0.020463613363481608,4,5,175,6,1.469423282969653,1.9489166669301181,2.672916953471347,0.042004723167022,8,50,COMPLETE
6,0.5133443349664949,2025-05-07 18:16:46.346398,2025-05-07 18:16:49.700922,0 days 00:00:03.354524,3.3638468506870116,4,100,1.075051292556307,0.0128201004189169,10,7,150,1,2.73194277438567,1.0116323451213474,1.5748550043776381,0.033322135755462355,5,175,COMPLETE
7,0.509575256609398,2025-05-07 18:16:49.701057,2025-05-07 18:16:57.317582,0 days 00:00:07.616525,4.116524346046015,8,200,7.438075634395301,0.0429935945473144,10,4,100,2,1.6640925015553871,0.6410531707695039,2.6884210956209356,0.014495102383254688,4,50,COMPLETE
8,0.5056906991273553,2025-05-07 18:16:57.317717,2025-05-07 18:17:00.909665,0 days 00:00:03.591948,1.4994851471182862,4,200,2.6146345949334338,0.03241509528627273,6,2,200,6,2.834438141346306,0.44760956526768014,1.079083997070521,0.06576801979658928,5,75,COMPLETE
9,0.5072979237137115,2025-05-07 18:17:00.909992,2025-05-07 18:17:23.133053,0 days 00:00:22.223061,3.243039502909536,5,125,1.0886466671993769,0.0192681711094762,10,5,125,3,0.9080747462861731,1.5577691673636984,0.2492883786249691,0.017855922645162278,8,200,COMPLETE
