number,value,datetime_start,datetime_complete,duration,params_cat_class_weight_0_cb,params_cat_depth,params_cat_iterations,params_cat_l2_leaf_reg,params_cat_learning_rate,params_lgbm_colsample_bytree,params_lgbm_learning_rate,params_lgbm_max_depth,params_lgbm_n_estimators,params_lgbm_num_leaves,params_lgbm_reg_alpha,params_lgbm_reg_lambda,params_lgbm_scale_pos_weight,params_rf_max_depth,params_rf_min_samples_leaf,params_rf_n_estimators,params_smote_k_neighbors,params_w_cat,params_w_lgbm,params_w_rf,params_w_xgb,params_xgb_learning_rate,params_xgb_max_depth,params_xgb_n_estimators,params_xgb_scale_pos_weight,state
0,0.5101824312656205,2025-05-07 22:44:29.487247,2025-05-07 22:44:56.363110,0 days 00:00:26.875863,6.693052598243289,8,175,13.540804321249833,0.005362604871585998,0.645614570099021,0.009329979812452458,4,75,52,0.042051564509138675,0.01444525102276306,6.312602499862605,12,10,250,3,0.7644055944226988,0.9393364692232201,0.32201302827148154,0.6196820646436755,0.006092093251110881,4,75,8.728673384861883,COMPLETE
1,0.508668996514371,2025-05-07 22:44:56.363385,2025-05-07 22:45:35.308448,0 days 00:00:38.945063,0.9618424892497941,10,250,1.4090340145923617,0.07817554354066729,0.6293899908000085,0.007572430131375705,6,200,79,0.00014857392806279257,3.5204810455260365,6.793961701362829,10,10,75,6,1.1160850447193953,0.4104661882747777,0.6578365983743514,1.0641326412967311,0.00893006894469855,7,50,1.1179901333601554,COMPLETE
2,0.5141857979179413,2025-05-07 22:45:35.308677,2025-05-07 22:46:02.545588,0 days 00:00:27.236911,6.664152571385049,6,50,1.258303563775148,0.018753981798128025,0.9934434683002586,0.03166634387660921,5,125,29,1.025616274847307,0.0002359137306347715,7.836325308318245,15,14,200,7,1.6401497854869267,1.4283718205028535,0.43749557899163616,0.06076812839102468,0.00675591473822541,10,175,2.3618371929818793,COMPLETE
3,0.5136110910034513,2025-05-07 22:46:02.545767,2025-05-07 22:46:15.251746,0 days 00:00:12.705979,5.172948276570662,6,50,5.979801915095919,0.015111417378233677,0.8854835899772805,0.007509745286187187,6,225,110,0.6366859160799433,0.06403036652671171,5.191058165461712,4,7,200,6,0.09956729715098561,0.2603882826369437,1.0693290172948884,0.8837049857991718,0.04165401945150998,9,75,3.6435312361001673,COMPLETE
4,0.5120358583615235,2025-05-07 22:46:15.251958,2025-05-07 22:46:26.735427,0 days 00:00:11.483469,7.45164168827207,4,100,0.8651937917102939,0.013395780849733079,0.7696711209578253,0.09687750932060209,8,225,123,0.0008567424667875064,2.902652141826388,8.170681474058593,7,9,175,1,0.2646012528289697,0.49447356695678624,1.7973780348508117,0.6701067761951346,0.020190884410359194,4,250,7.677735816158963,COMPLETE
5,0.5191982041145794,2025-05-07 22:46:26.735710,2025-05-07 22:47:00.219583,0 days 00:00:33.483873,5.683547879382387,10,125,2.9193533134164746,0.01500997347620148,0.6424202471887338,0.13201441642702172,10,125,45,0.030636738485558444,0.0031944165636003663,0.8504259998680616,14,2,225,3,0.15038356493747923,0.5933606052613923,1.2386504512607988,1.0302240952962798,0.010642659608192148,6,150,1.6387209896699866,COMPLETE
6,0.5143415976598621,2025-05-07 22:47:00.219860,2025-05-07 22:47:16.977521,0 days 00:00:16.757661,5.141531743934979,9,100,4.294992266552082,0.017467481292559626,0.795446471594121,0.08566690457198017,3,150,55,0.0008562341633595543,0.00015991003111214837,6.936861437501683,5,8,100,7,0.491666761635979,1.3080869412984273,0.0823462664093195,1.048581463683598,0.04918081342450013,4,250,7.735386345622817,COMPLETE
7,0.5091479009841305,2025-05-07 22:47:16.977700,2025-05-07 22:47:27.521588,0 days 00:00:10.543888,4.530566330475806,5,225,8.055755677988527,0.04718961851786744,0.6695148955243504,0.006862685260391494,4,150,136,3.1775345821188252,0.14638860976621423,3.8174909588202786,8,15,200,2,1.7798185273169786,1.5707573144223665,1.4656135737969669,1.7993650069075253,0.00735502501963561,5,75,9.284589373646346,COMPLETE
8,0.511263296108655,2025-05-07 22:47:27.521855,2025-05-07 22:47:30.789011,0 days 00:00:03.267156,5.285297824120284,5,50,5.259968058575738,0.032323348732461996,0.924611705247089,0.011205098384556906,8,100,55,0.540078670128653,0.17707795393478512,6.747322476853262,5,14,50,5,0.7670458159658954,0.5671446169793647,1.1582017765041697,0.23266579726478032,0.007060830353103754,3,175,6.80326680652653,COMPLETE
9,0.514336828185967,2025-05-07 22:47:30.789181,2025-05-07 22:47:54.020152,0 days 00:00:23.230971,0.38966453816533997,5,150,1.2992862086669055,0.05836055042979319,0.5077283082644337,0.12250148925529065,4,175,144,3.7525108021939446,0.007092404574999809,9.31902634458339,8,14,250,2,1.9290589553240431,1.713368438161352,0.884959089218763,1.9349768971351557,0.027632866443278843,9,175,5.980586903950411,COMPLETE
